Episode,Time,UE x,UE y,UE SINR,BS TX Power,Beam Index,Action,Cumul. Reward,Done,Abort,Loss,Q
1.0,1.0,-77.09374063623285,-81.41464545757532,19.45,9.32,0.0,3.0,0.0,0.0,0.0,0.652599940235632,0.08556997206566544
1.0,2.0,-76.84560310430761,-81.53949840738915,6.7,11.73,1.0,0.0,2.0,0.0,0.0,0.652599940235632,0.08556997206566544
1.0,3.0,-77.08891727244826,-81.4054882980347,17.48,10.45,1.0,3.0,2.0,0.0,0.0,0.652599940235632,0.08556997206566544
1.0,4.0,-76.84139546503535,-81.2794190762468,-168.98,8.3,2.0,1.0,-3.0,0.0,1.0,0.652599940235632,0.08556997206566544
2.0,1.0,-27.102095138601076,-29.730103521497412,16.68,28.9,3.0,1.0,17.0,0.0,0.0,24.05233097076416,0.879138198417301
2.0,2.0,-26.83516228264756,-29.653244271958663,38.91,36.38,0.0,0.0,12.0,0.0,1.0,24.05233097076416,0.879138198417301
3.0,1.0,127.65132889958305,-132.56207451715616,16.22,49.89,3.0,0.0,-5.0,0.0,1.0,20.00434684753418,0.4634887715136366
4.0,1.0,88.56384543463282,-44.02064323459958,18.29,41.41,1.0,2.0,-5.0,0.0,1.0,18.178165435791016,0.2728946362622082
5.0,1.0,52.197090624206105,37.991514547511336,4.46,31.11,2.0,3.0,0.0,0.0,0.0,12.7702685991923,0.24619350230018863
5.0,2.0,52.4735400618203,37.964381499950214,4.34,27.73,2.0,3.0,0.0,0.0,0.0,12.7702685991923,0.24619350230018863
5.0,3.0,52.53687458092512,37.693920352062165,6.16,24.71,2.0,3.0,0.0,0.0,0.0,12.7702685991923,0.24619350230018863
5.0,4.0,52.77372174423135,37.54878622423224,13.63,22.02,2.0,3.0,0.0,0.0,0.0,12.7702685991923,0.24619350230018863
5.0,5.0,52.88932182443727,37.29620531584139,23.27,19.63,2.0,3.0,0.0,0.0,0.0,12.7702685991923,0.24619350230018863
5.0,6.0,52.61463241856842,37.33751178180715,36.54,17.5,2.0,3.0,-5.0,0.0,1.0,12.7702685991923,0.24619350230018863
6.0,1.0,-28.873580085534833,-37.55059876216479,41.94,35.61,0.0,2.0,-5.0,0.0,1.0,10.066548347473145,0.07078524629275004
