Episode,Time,UE x,UE y,UE SINR,BS TX Power,Beam Index,Action,Cumul. Reward,Done,Abort,Loss,Q
1.0,1.0,-77.09374063623285,-81.41464545757532,19.45,9.32,0.0,3.0,0.0,0.0,0.0,0.6789034550738506,0.08176029948178135
1.0,2.0,-76.84560310430761,-81.53949840738915,4.7,7.4,1.0,1.0,2.0,0.0,0.0,0.6789034550738506,0.08176029948178135
1.0,3.0,-77.08891727244826,-81.4054882980347,15.48,6.6,1.0,3.0,2.0,0.0,0.0,0.6789034550738506,0.08176029948178135
1.0,4.0,-76.84139546503535,-81.2794190762468,-170.98,5.24,2.0,1.0,-3.0,0.0,1.0,0.6789034550738506,0.08176029948178135
2.0,1.0,-27.102095138601076,-29.730103521497412,16.68,28.9,3.0,1.0,7.0,0.0,0.0,7.504039764404297,0.3925611208980193
2.0,2.0,-26.83516228264756,-29.653244271958663,32.01,32.43,3.0,2.0,7.0,0.0,0.0,7.504039764404297,0.3925611208980193
2.0,3.0,-26.72279752832186,-29.90728099334454,36.79,36.39,3.0,2.0,2.0,0.0,1.0,7.504039764404297,0.3925611208980193
3.0,1.0,108.61092054778527,-89.14213581049265,0.46,7.31,2.0,3.0,0.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,2.0,108.35384889238912,-89.24737201062857,6.74,9.2,3.0,0.0,2.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,3.0,108.63162154028525,-89.24906017766214,9.5,10.32,3.0,2.0,2.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,4.0,108.6202347346908,-89.52660447049756,12.09,11.58,3.0,2.0,2.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,5.0,108.76587079053506,-89.76314333213617,13.89,9.2,0.0,1.0,9.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,6.0,109.00498406558003,-89.90451283211557,7.58,11.58,1.0,0.0,11.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,7.0,108.9405119031139,-89.63432061517715,11.41,10.32,1.0,3.0,11.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,8.0,109.21195303264943,-89.69331389465569,6.59,8.2,2.0,1.0,13.0,0.0,0.0,5.577381451924642,0.4793305785538732
3.0,9.0,109.20322226833166,-89.97095443128819,-8.94,7.31,2.0,3.0,8.0,0.0,1.0,5.577381451924642,0.4793305785538732
4.0,1.0,117.679581763063,-69.24280065582893,6.62,25.71,0.0,0.0,2.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,2.0,117.40478485683046,-69.20221550888833,-2.25,22.91,0.0,3.0,2.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,3.0,117.19275746034306,-69.38167268195738,23.17,20.42,0.0,3.0,2.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,4.0,117.33655671334462,-69.14401269655102,12.3,18.2,0.0,3.0,2.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,5.0,117.23370236029012,-68.88597883077968,-1.72,22.91,1.0,0.0,4.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,6.0,117.37356563620648,-69.1259762430097,16.42,18.2,2.0,1.0,11.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,7.0,117.12661871152872,-69.25316787095493,14.93,16.22,2.0,3.0,11.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,8.0,117.22678880859186,-68.99408015321917,4.91,14.46,2.0,3.0,11.0,0.0,0.0,4.548615429136488,0.8951235567474932
4.0,9.0,117.4143793912169,-69.1989466149389,-69.17,12.89,2.0,3.0,6.0,0.0,1.0,4.548615429136488,0.8951235567474932
5.0,1.0,-77.12489838004777,-134.9135791478158,17.25,35.42,1.0,2.0,0.0,0.0,0.0,4.219937801361084,1.3011433590108004
5.0,2.0,-76.93000116016756,-134.71565096005537,19.04,44.59,2.0,0.0,-5.0,0.0,1.0,4.219937801361084,1.3011433590108004
6.0,1.0,-76.18904368767144,49.78659043930891,9.49,9.16,3.0,3.0,0.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,2.0,-75.95108125362034,49.9298886382077,7.91,11.53,0.0,0.0,2.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,3.0,-76.22319272980532,49.87406894315664,22.0,9.16,1.0,1.0,9.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,4.0,-76.39288164179679,50.09399203647408,18.05,11.53,2.0,0.0,16.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,5.0,-76.66013392725641,50.16973310686371,12.95,14.52,3.0,0.0,23.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,6.0,-76.57955328705775,50.43556623920867,11.54,16.29,3.0,2.0,23.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,7.0,-76.67924314888269,50.69483911722811,4.78,12.94,0.0,1.0,25.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,8.0,-76.40203803804648,50.67701160047871,10.71,10.28,1.0,1.0,27.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,9.0,-76.24816925241385,50.908279606556285,6.2,8.17,2.0,1.0,29.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,10.0,-76.22860688316001,51.18536769279663,18.15,7.28,2.0,3.0,29.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,11.0,-76.43946352441306,51.00453636070331,19.46,6.49,2.0,3.0,29.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,12.0,-76.45002701531148,51.28211320859809,4.13,5.78,2.0,3.0,29.0,0.0,0.0,4.506721679980938,2.623516886923613
6.0,13.0,-76.71570578557491,51.363201338792756,-6.85,4.59,3.0,1.0,24.0,0.0,1.0,4.506721679980938,2.623516886923613
7.0,1.0,76.80587875037506,-74.72583147043218,24.45,35.68,2.0,0.0,7.0,0.0,0.0,3.418540988649641,5.059297478425184
7.0,2.0,77.0226046776653,-74.55207771862422,22.66,31.8,2.0,3.0,7.0,0.0,0.0,3.418540988649641,5.059297478425184
7.0,3.0,77.16889363531445,-74.31594209086533,12.88,25.26,3.0,1.0,14.0,0.0,0.0,3.418540988649641,5.059297478425184
7.0,4.0,77.04740243517313,-74.06614140608768,22.64,22.51,3.0,3.0,14.0,0.0,0.0,3.418540988649641,5.059297478425184
7.0,5.0,77.32501470229137,-74.07572905296415,6.69,28.34,0.0,0.0,16.0,0.0,0.0,3.418540988649641,5.059297478425184
7.0,6.0,77.55490712588522,-73.91981251310611,3.26,35.68,1.0,0.0,18.0,0.0,0.0,3.418540988649641,5.059297478425184
7.0,7.0,77.83248938685574,-73.93023279245243,-1.9,44.92,2.0,0.0,13.0,0.0,1.0,3.418540988649641,5.059297478425184
8.0,1.0,54.25437943336355,-42.59167968954517,-143.7,11.92,1.0,1.0,-5.0,0.0,1.0,2.744814395904541,6.231814760714769
9.0,1.0,-87.33370099658534,49.85339739576161,-4.97,7.38,2.0,0.0,-5.0,0.0,1.0,3.413848876953125,6.5476035084575415
10.0,1.0,124.56613043161107,92.06333656782546,-9.39,18.73,3.0,2.0,-5.0,0.0,1.0,2.773159980773926,6.946817934513092
11.0,1.0,-131.31688127625583,-32.04851674308657,5.3,11.78,1.0,3.0,0.0,0.0,0.0,2.7444688081741333,7.4476622287184
11.0,2.0,-131.09553326008847,-31.880690792870457,-153.86,10.5,1.0,3.0,-5.0,0.0,1.0,2.7444688081741333,7.4476622287184
12.0,1.0,-18.989154696322593,-54.758201964680836,32.64,22.05,0.0,2.0,0.0,0.0,0.0,2.7502553462982178,8.14576986245811
12.0,2.0,-18.95468672600335,-55.03383297318538,-131.64,17.51,1.0,1.0,-5.0,0.0,1.0,2.7502553462982178,8.14576986245811
13.0,1.0,-2.2336355922830307,-35.55813670362388,17.58,10.57,1.0,2.0,0.0,0.0,0.0,2.4131812197821483,9.758814443434987
13.0,2.0,-2.243746385489649,-35.83573040976272,8.98,8.4,2.0,1.0,2.0,0.0,0.0,2.4131812197821483,9.758814443434987
13.0,3.0,-1.9788832433738297,-35.75201655322931,23.55,7.49,2.0,3.0,2.0,0.0,0.0,2.4131812197821483,9.758814443434987
13.0,4.0,-2.2285295426793956,-35.87382467722027,14.19,5.95,3.0,1.0,9.0,0.0,0.0,2.4131812197821483,9.758814443434987
13.0,5.0,-2.3978548490673677,-35.65362151093109,33.55,4.73,0.0,1.0,16.0,0.0,0.0,2.4131812197821483,9.758814443434987
13.0,6.0,-2.6070904519933618,-35.47091695079271,28.63,5.31,0.0,2.0,16.0,0.0,0.0,2.4131812197821483,9.758814443434987
13.0,7.0,-2.803274532877601,-35.66756969100949,-141.25,6.68,1.0,0.0,11.0,0.0,1.0,2.4131812197821483,9.758814443434987
14.0,1.0,-127.39919641309952,-60.883344423692336,-4.06,10.36,0.0,1.0,-5.0,0.0,1.0,2.0481109619140625,10.966101050376892
15.0,1.0,33.746037295624745,137.2734485229962,12.31,6.06,3.0,2.0,0.0,0.0,0.0,1.943613052368164,11.735880218446255
15.0,2.0,33.47020839043781,137.2406017744427,19.81,7.63,0.0,0.0,7.0,0.0,0.0,1.943613052368164,11.735880218446255
15.0,3.0,33.74384274144239,137.28840068423636,13.84,9.61,1.0,0.0,14.0,0.0,0.0,1.943613052368164,11.735880218446255
15.0,4.0,33.8242010340847,137.55430111415473,-9.68,7.63,2.0,1.0,9.0,0.0,1.0,1.943613052368164,11.735880218446255
16.0,1.0,134.53678341461276,55.95734352844083,-190.86,5.7,1.0,1.0,-5.0,0.0,1.0,1.975724220275879,12.241966299712658
17.0,1.0,57.95552755105291,2.0734165459911056,19.16,31.03,3.0,1.0,7.0,0.0,0.0,1.670713973045349,12.735892057418823
17.0,2.0,57.9376270623861,1.7962161377434807,34.53,34.82,3.0,2.0,7.0,0.0,0.0,1.670713973045349,12.735892057418823
17.0,3.0,58.18913948890521,1.6783094240515648,25.74,39.07,3.0,2.0,7.0,0.0,0.0,1.670713973045349,12.735892057418823
17.0,4.0,58.18246247924316,1.400611906293243,23.52,34.82,3.0,3.0,7.0,0.0,0.0,1.670713973045349,12.735892057418823
17.0,5.0,57.95113012361711,1.5543839293262516,35.07,39.07,3.0,2.0,2.0,0.0,1.0,1.670713973045349,12.735892057418823
18.0,1.0,134.06498769779458,53.54985499660258,3.22,19.98,3.0,1.0,2.0,0.0,0.0,1.5262029000691004,12.82276311410325
18.0,2.0,133.91058806670782,53.31894105647026,14.94,17.81,3.0,3.0,2.0,0.0,0.0,1.5262029000691004,12.82276311410325
18.0,3.0,134.0682494888839,53.09024175654877,7.58,15.87,3.0,3.0,2.0,0.0,0.0,1.5262029000691004,12.82276311410325
18.0,4.0,134.16713460343834,52.83066088678615,17.95,17.81,3.0,2.0,2.0,0.0,0.0,1.5262029000691004,12.82276311410325
18.0,5.0,134.33802926718096,53.04964834700126,7.37,14.15,0.0,1.0,4.0,0.0,0.0,1.5262029000691004,12.82276311410325
18.0,6.0,134.06125775411977,53.07327086560051,3.13,15.88,0.0,2.0,4.0,0.0,0.0,1.5262029000691004,12.82276311410325
18.0,7.0,133.8166534311857,52.941630373998855,-149.74,12.61,1.0,1.0,-1.0,0.0,1.0,1.5262029000691004,12.82276311410325
19.0,1.0,81.35038560035623,12.619111483305643,20.51,9.96,1.0,0.0,7.0,0.0,0.0,1.3202894926071167,12.412178728729486
19.0,2.0,81.50835206940405,12.390622777931126,24.31,11.18,1.0,2.0,7.0,0.0,0.0,1.3202894926071167,12.412178728729486
19.0,3.0,81.27369544304906,12.53927257286828,26.87,9.96,1.0,3.0,7.0,0.0,0.0,1.3202894926071167,12.412178728729486
19.0,4.0,81.1487298890865,12.787353414833131,25.08,8.88,1.0,3.0,7.0,0.0,0.0,1.3202894926071167,12.412178728729486
19.0,5.0,81.19441658316542,13.061348341449117,15.99,9.96,1.0,2.0,7.0,0.0,0.0,1.3202894926071167,12.412178728729486
19.0,6.0,80.9173861547117,13.040985739996632,13.04,8.88,1.0,3.0,7.0,0.0,0.0,1.3202894926071167,12.412178728729486
19.0,7.0,80.86188061731227,12.768810007894816,7.49,7.91,1.0,3.0,7.0,0.0,0.0,1.3202894926071167,12.412178728729486
19.0,8.0,81.13932440454981,12.782427597639236,-11.78,9.96,2.0,0.0,2.0,0.0,1.0,1.3202894926071167,12.412178728729486
20.0,1.0,36.8746334455943,134.25812556291513,-156.25,19.73,1.0,2.0,-5.0,0.0,1.0,1.5923359394073486,12.201353952288628
21.0,1.0,-23.99432089655675,-145.60887083406283,-7.36,32.22,0.0,2.0,-5.0,0.0,1.0,1.3315995931625366,12.281333670020103
22.0,1.0,34.532217472894814,32.80525178360166,18.95,41.03,0.0,2.0,-5.0,0.0,1.0,1.3885564804077148,12.164037838578224
23.0,1.0,-19.21413364057915,-65.76748056044565,26.72,29.47,1.0,0.0,7.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,2.0,-18.948905206562547,-65.85002976768752,11.35,37.1,2.0,0.0,9.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,3.0,-18.751054061150914,-65.65505433824455,32.48,33.07,2.0,3.0,9.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,4.0,-18.885455743570954,-65.89815242871386,5.17,29.47,2.0,3.0,9.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,5.0,-18.969580655022956,-65.63341955750147,30.13,26.27,2.0,3.0,9.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,6.0,-18.971270888333112,-65.91119219283209,15.13,23.41,2.0,3.0,9.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,7.0,-19.136882262565948,-66.13420198309223,-2.36,26.27,2.0,2.0,9.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,8.0,-19.10916019879199,-66.41059297608453,19.38,33.07,3.0,0.0,16.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,9.0,-18.97839938951232,-66.65566868802614,26.22,29.47,3.0,3.0,16.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,10.0,-18.891621248031864,-66.9195437493494,30.28,37.1,0.0,0.0,23.0,0.0,0.0,1.5401172312823208,11.884043234993111
23.0,11.0,-18.770956268603843,-67.16974458181564,21.61,46.71,1.0,0.0,18.0,0.0,1.0,1.5401172312823208,11.884043234993111
24.0,1.0,32.66651358220408,-54.441213178309425,27.34,7.67,0.0,1.0,7.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,2.0,32.5435275897894,-54.69028132058566,18.45,9.66,1.0,0.0,14.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,3.0,32.63829229154205,-54.42916804032422,8.65,7.67,2.0,1.0,16.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,4.0,32.44332344958063,-54.23131040339457,24.6,9.66,3.0,0.0,23.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,5.0,32.71446817343259,-54.17096943427404,6.95,7.67,0.0,1.0,25.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,6.0,32.87989589621309,-54.394115490396075,20.93,9.66,1.0,0.0,32.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,7.0,32.624480780434595,-54.50331078543674,17.98,12.16,2.0,0.0,39.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,8.0,32.37561921997326,-54.379907310802075,19.13,9.66,3.0,1.0,46.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,9.0,32.10355929152584,-54.32383691611517,17.22,12.16,0.0,0.0,53.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,10.0,32.2991583735815,-54.52107153003003,29.34,15.31,1.0,0.0,60.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,11.0,32.128367712525595,-54.740140112723324,18.15,13.65,1.0,3.0,60.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,12.0,32.40241191296741,-54.785530310248404,17.44,10.84,2.0,1.0,67.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,13.0,32.21460852078439,-54.58085891578471,-0.41,9.66,2.0,3.0,67.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,14.0,32.06927612805866,-54.81758447302722,13.24,8.61,2.0,3.0,67.0,0.0,0.0,1.3604109764099122,10.733855837831895
24.0,15.0,32.027930714599606,-55.09226801933653,23.88,10.84,3.0,0.0,79.0,1.0,0.0,1.3604109764099122,10.733855837831895
25.0,1.0,-115.20077025292008,137.87802394800212,14.03,6.84,3.0,1.0,7.0,0.0,0.0,1.5336896578470867,10.213821997245153
25.0,2.0,-114.92993630479047,137.93974482265315,8.62,5.43,0.0,1.0,9.0,0.0,0.0,1.5336896578470867,10.213821997245153
25.0,3.0,-115.1750076769764,137.80897588000212,-5.69,4.84,0.0,3.0,4.0,0.0,1.0,1.5336896578470867,10.213821997245153
26.0,1.0,1.9404777122261752,35.70791676330096,38.35,13.03,0.0,0.0,-5.0,0.0,1.0,1.0535606145858765,10.36861663684249
27.0,1.0,-22.31387664507522,-80.76084697531635,-137.14,13.08,2.0,3.0,-5.0,0.0,1.0,0.99278324842453,10.304185792803764
28.0,1.0,59.15942543291941,-124.11569292609995,-2.6,28.67,0.0,3.0,0.0,0.0,0.0,1.5404676993687947,10.179498237247268
28.0,2.0,58.968394674088195,-124.31735537428386,20.21,36.09,1.0,0.0,7.0,0.0,0.0,1.5404676993687947,10.179498237247268
28.0,3.0,59.21997003019085,-124.19958299199929,19.41,32.17,1.0,3.0,7.0,0.0,0.0,1.5404676993687947,10.179498237247268
28.0,4.0,59.2804316773867,-124.47070083177663,16.07,28.67,1.0,3.0,7.0,0.0,0.0,1.5404676993687947,10.179498237247268
28.0,5.0,59.33603391384753,-124.74285682588243,10.33,32.17,1.0,2.0,7.0,0.0,0.0,1.5404676993687947,10.179498237247268
28.0,6.0,59.439913511820706,-125.00047965668765,-16.69,40.5,2.0,0.0,2.0,0.0,1.0,1.5404676993687947,10.179498237247268
29.0,1.0,-148.33115903084624,-81.58178859064128,18.7,20.99,1.0,1.0,7.0,0.0,0.0,1.4202302694320679,10.217004381120205
29.0,2.0,-148.22875353213368,-81.84000092121555,-3.34,16.67,2.0,1.0,2.0,0.0,1.0,1.4202302694320679,10.217004381120205
30.0,1.0,-143.2248162902895,-30.927171569802002,-160.32,30.67,2.0,1.0,-5.0,0.0,1.0,1.5767372846603394,10.259309157729149
31.0,1.0,-147.18102843691696,69.00340044290712,8.44,22.28,0.0,3.0,0.0,0.0,0.0,1.3958509862422943,10.268419697880745
31.0,2.0,-146.90484570114512,69.0331256895629,9.72,28.05,1.0,0.0,2.0,0.0,0.0,1.3958509862422943,10.268419697880745
