Episode,Time,UE x,UE y,UE SINR,BS TX Power,Beam Index,Action,Cumul. Reward,Done,Abort,Loss,Q
1.0,1.0,-77.09374063623285,-81.41464545757532,19.45,9.32,0.0,3.0,0.0,0.0,0.0,22.83202846454742,0.09154676143164883
1.0,2.0,-76.84560310430761,-81.53949840738915,6.7,11.73,1.0,0.0,2.0,0.0,0.0,22.83202846454742,0.09154676143164883
1.0,3.0,-77.08891727244826,-81.4054882980347,17.48,10.45,1.0,tensor(3),2.0,0.0,0.0,22.83202846454742,0.09154676143164883
1.0,4.0,-76.84139546503535,-81.2794190762468,-144.98,9.31,1.0,3,-3.0,0.0,1.0,22.83202846454742,0.09154676143164883
2.0,1.0,-27.102095138601076,-29.730103521497412,16.68,28.9,3.0,1.0,7.0,0.0,0.0,268.76666259765625,0.3778906202029854
2.0,2.0,-26.83516228264756,-29.653244271958663,36.91,22.96,0.0,1.0,2.0,0.0,1.0,268.76666259765625,0.3778906202029854
3.0,1.0,127.65132889958305,-132.56207451715616,16.22,49.89,3.0,0.0,-5.0,0.0,1.0,249.44874572753906,0.05562926163747761
4.0,1.0,88.56384543463282,-44.02064323459958,18.29,41.41,1.0,2.0,-5.0,0.0,1.0,239.71035766601562,-0.08327280385856284
5.0,1.0,52.197090624206105,37.991514547511336,4.46,31.11,2.0,3.0,0.0,0.0,0.0,261.5757637023926,0.14020094416936804
5.0,2.0,52.4735400618203,37.964381499950214,12.39,39.17,3.0,0.0,7.0,0.0,0.0,261.5757637023926,0.14020094416936804
5.0,3.0,52.53687458092512,37.693920352062165,27.78,34.91,3.0,3.0,7.0,0.0,0.0,261.5757637023926,0.14020094416936804
5.0,4.0,52.77372174423135,37.54878622423224,35.29,43.95,0.0,tensor(0),2.0,0.0,1.0,261.5757637023926,0.14020094416936804
6.0,1.0,73.67460529056129,-77.79638475504915,8.36,8.44,1.0,1.0,2.0,0.0,0.0,240.5784454345703,0.11870435138161366
6.0,2.0,73.70646172072571,-78.07232978885904,-21.48,7.52,1.0,3.0,-3.0,0.0,1.0,240.5784454345703,0.11870435138161366
7.0,1.0,77.85366231655617,-110.7587898637237,16.65,12.93,1.0,0.0,7.0,0.0,0.0,274.88979085286456,0.24769340152517447
7.0,2.0,78.12826265722325,-110.71689539233806,10.0,11.52,1.0,3.0,7.0,0.0,0.0,274.88979085286456,0.24769340152517447
7.0,3.0,78.19035383458794,-110.98764468508068,-6.58,10.27,1.0,3.0,2.0,0.0,1.0,274.88979085286456,0.24769340152517447
8.0,1.0,32.49242682250973,-88.91855558095041,15.37,2.96,3.0,3.0,0.0,0.0,0.0,262.33490295410155,0.33034906417106524
8.0,2.0,32.7440943405929,-88.80098026819721,20.49,2.35,0.0,1.0,7.0,0.0,0.0,262.33490295410155,0.33034906417106524
8.0,3.0,32.997056422652726,-88.68621669005886,3.57,2.09,0.0,3.0,7.0,0.0,0.0,262.33490295410155,0.33034906417106524
8.0,4.0,32.719293226119234,-88.68906282404356,-0.54,1.66,1.0,1.0,9.0,0.0,0.0,262.33490295410155,0.33034906417106524
8.0,5.0,32.73047676028299,-88.96661538193264,-3.48,2.09,2.0,tensor(0),4.0,0.0,1.0,262.33490295410155,0.33034906417106524
9.0,1.0,82.98189826310576,-76.94024846390687,2.33,3.69,2.0,0.0,2.0,0.0,0.0,237.48296356201172,0.32485262149324023
9.0,2.0,83.07533337223715,-77.20184046341902,-149.5,4.14,2.0,2.0,-3.0,0.0,1.0,237.48296356201172,0.32485262149324023
10.0,1.0,8.53092884395413,57.786976731512624,41.31,33.71,1.0,3.0,-5.0,0.0,1.0,226.74893188476562,0.271396621465683
11.0,1.0,-70.17207596526606,-54.04799736584229,22.0,30.46,2.0,3.0,0.0,0.0,0.0,228.81122436523438,0.38360539786064957
11.0,2.0,-70.31861729614383,-54.283976458500376,25.85,38.35,3.0,0.0,7.0,0.0,0.0,228.81122436523438,0.38360539786064957
11.0,3.0,-70.38381181983567,-54.0139576296981,28.07,34.18,3.0,3.0,7.0,0.0,0.0,228.81122436523438,0.38360539786064957
11.0,4.0,-70.42269370190638,-53.738914554755645,7.83,38.35,3.0,2.0,7.0,0.0,0.0,228.81122436523438,0.38360539786064957
11.0,5.0,-70.45850166055108,-53.463454423475525,18.68,48.28,0.0,0.0,2.0,0.0,1.0,228.81122436523438,0.38360539786064957
12.0,1.0,-141.21281761333375,113.06779459190618,-6.1,5.95,1.0,0.0,-5.0,0.0,1.0,221.11557006835938,0.35652515772850285
13.0,1.0,-90.39822134971926,65.67663048424059,10.64,26.02,3.0,2.0,0.0,0.0,0.0,221.97840372721353,0.43365301253894967
13.0,2.0,-90.43802548115468,65.40171936233419,30.9,32.76,0.0,0.0,7.0,0.0,0.0,221.97840372721353,0.43365301253894967
13.0,3.0,-90.25555278239885,65.19228152421529,18.0,41.24,1.0,0.0,2.0,0.0,1.0,221.97840372721353,0.43365301253894967
14.0,1.0,70.89704333928982,105.26953677403306,11.77,33.62,1.0,3.0,0.0,0.0,0.0,234.59441833496095,0.5997707924805582
14.0,2.0,70.80020159923582,105.00918668048502,15.9,37.72,1.0,2.0,0.0,0.0,0.0,234.59441833496095,0.5997707924805582
14.0,3.0,70.83048001592768,104.73306404231532,16.73,29.96,2.0,1.0,7.0,0.0,0.0,234.59441833496095,0.5997707924805582
14.0,4.0,70.98094279180974,104.96656232261097,10.11,33.62,2.0,2.0,7.0,0.0,0.0,234.59441833496095,0.5997707924805582
14.0,5.0,70.82924315114295,105.19925893377822,22.12,42.33,3.0,tensor(0),2.0,0.0,1.0,234.59441833496095,0.5997707924805582
15.0,1.0,-79.80422946982644,46.535309258759305,15.26,7.91,2.0,3.0,0.0,0.0,0.0,227.07032012939453,0.6535370238125324
